Date,open,high,low,close,settle,amt,volume,oi
2016/3/31,258,258.1,255.35,256.15,256.6,69266831400,269920,279210
2016/4/1,257.5,257.8,256.1,257.2,256.85,59793716900,232786,272338
2016/4/5,255.05,256.35,254.2,256.05,255.65,24398856900,95420,270088
2016/4/6,257.5,257.7,256.1,256.75,256.85,50036012000,194794,273552
2016/4/7,255.2,257.1,255,256.45,256.05,58194798500,227246,279408
2016/4/8,258.4,259.35,257.65,258,258.4,66570930900,257602,283298
2016/4/11,257.7,261.15,257.4,260.55,259.3,63676044500,245542,287684
2016/4/12,260.95,262,260.4,261.8,261.25,49451381500,189268,291346
2016/4/13,262.05,262.65,260,260.4,261.45,70132083400,268234,282358
2016/4/14,260.5,261.05,257,257.8,259,70866440400,273610,278694
2016/4/15,257.6,258.25,256.05,257.2,257.1,60702940300,236076,265642
2016/4/18,257.15,258.7,256.2,257.35,257.55,55931156700,217164,259854
2016/4/19,258.55,260,256.55,259.85,257.95,61739206400,239320,260238
2016/4/20,261,262.5,259.65,260.65,261.15,84997371100,325448,258636
2016/4/21,261,264.15,260,264,261.85,91830694000,350660,274058
2016/4/22,265.7,266.5,260,260.6,262.15,1.05E+11,401306,242932
2016/4/25,260.7,261.3,256.95,258.65,259.2,96675653000,372910,221956
2016/4/26,258.75,260,258,258.1,259.2,44681718600,172382,208928
2016/4/27,258.55,261.45,258.25,261.3,260.3,65875099000,253034,193114
2016/4/28,261.9,262.75,259.3,262.25,261.1,89534718900,342874,177568
2016/4/29,262.15,267.95,261.75,266.45,265,92029317900,347256,177698
2016/5/3,269.5,271.65,269.1,271.5,270.25,41140777100,152216,161770
2016/5/4,273.65,273.65,270.3,270.65,271.5,45094353600,166064,217452
2016/5/5,271.55,272.7,269.3,270.25,271.05,45613997000,168280,223004
2016/5/6,271.75,272,267.65,270.75,269.95,69596587900,257778,229060
2016/5/9,272.8,273.45,269.7,270.05,271.65,99025809400,364526,244720
2016/5/10,268.75,268.95,266.2,267.6,267.3,72043372600,269504,232556
2016/5/11,267.25,269.45,265.35,268.9,267.4,67412650500,252092,238998
2016/5/12,269.45,270,267.65,268.1,268.8,52583760600,195620,240004
2016/5/13,268.25,270.7,267.3,270.1,268.8,83264642300,309730,251788
2016/5/16,267.9,272.4,267.8,272.05,270,80393166700,297706,281686
2016/5/17,272.7,273.15,269.2,270.1,270.85,75351512000,278192,270764
2016/5/18,269.65,271.55,269.5,270.2,270.55,63977204400,236438,276598
2016/5/19,269.95,271.2,265.9,265.95,268.55,97332903900,362390,279720
2016/5/20,264.1,266.85,264.1,266.1,265.4,60788813300,229012,285308
2016/5/23,266.8,267.45,264.75,265.45,265.75,62990805700,237010,296306
2016/5/24,264.55,265.75,263.3,263.6,264.5,64744428000,244742,302680
2016/5/25,262.8,263.6,259.5,259.7,261.4,83162765300,318086,311778
2016/5/26,259.2,261.75,258.35,260.7,259.95,61546126100,236722,307562
2016/5/27,260.9,261.55,257.15,259.5,259.25,73222859100,282392,304944
2016/5/30,258.8,258.95,255.15,256.45,256.85,76752792400,298804,311692
2016/5/31,256.75,259,256.5,258.95,257.95,53512328700,207452,280976
2016/6/1,258.2,260.45,258.15,259.35,259.3,58209537500,224472,282330
2016/6/2,259.8,259.8,257.3,259.65,258.65,53412364400,206500,285598
2016/6/3,259.5,259.5,257.9,258.65,258.5,38383470100,148472,283090
2016/6/6,263.25,264.75,262.95,264.4,263.8,78704563200,298338,269594
2016/6/7,264.9,265.5,263.9,264.85,264.85,48699778000,183862,266688
2016/6/8,264,266.7,263.8,266.55,265.15,42945057300,161948,269490
